TransactionID,Date,AccountID,DeptID,CustomerID,ProductID,Amount,Quantity,Currency,Type,InvoiceID
26,2025-03-31,100,6,6.0,1.0,2799.34,17.0,EUR,Revenue,INV-250331-26
27,2025-03-31,200,3,,1.0,-1618.05,,EUR,Expense,
28,2025-03-31,210,2,,,-4132.35,,EUR,Expense,
29,2024-01-02,100,3,3.0,2.0,5613.05,40.0,CAD,Revenue,INV-240102-29
30,2024-01-02,200,3,,2.0,-2915.53,,CAD,Expense,
31,2024-09-30,100,4,2.0,2.0,7152.05,37.0,CAD,Revenue,INV-240930-31
32,2024-09-30,200,3,,2.0,-3762.33,,CAD,Expense,
33,2025-01-11,100,3,17.0,1.0,237.08,1.0,CAD,Revenue,INV-250111-33
34,2025-01-11,200,3,,1.0,-132.13,,CAD,Expense,
35,2023-08-30,100,6,6.0,4.0,1118.11,32.0,EUR,Revenue,INV-230830-35
36,2023-08-30,200,3,,4.0,-309.88,,EUR,Expense,
37,2025-05-30,110,5,4.0,3.0,21264.76,23.0,CAD,Revenue,INV-250530-37
38,2025-05-30,200,3,,3.0,-5566.16,,CAD,Expense,
39,2024-08-19,100,6,6.0,4.0,891.75,15.0,CAD,Revenue,INV-240819-39
40,2024-08-19,200,3,,4.0,-259.92,,CAD,Expense,
41,2023-01-19,100,2,4.0,1.0,83.08,1.0,CAD,Revenue,INV-230119-41
42,2023-01-19,200,3,,1.0,-41.11,,CAD,Expense,
43,2024-02-20,110,6,4.0,3.0,8696.26,18.0,CAD,Revenue,INV-240220-43
44,2024-02-20,200,3,,3.0,-2937.03,,CAD,Expense,
45,2023-07-04,100,3,1.0,2.0,2108.08,11.0,CAD,Revenue,INV-230704-45
46,2023-07-04,200,3,,2.0,-935.01,,CAD,Expense,
47,2024-07-14,110,4,20.0,5.0,12398.71,28.0,CAD,Revenue,INV-240714-47
48,2024-07-14,200,3,,5.0,-3850.31,,CAD,Expense,
49,2025-05-07,110,1,5.0,5.0,8468.38,12.0,CAD,Revenue,INV-250507-49
50,2025-05-07,200,3,,5.0,-2482.16,,CAD,Expense,
51,2024-05-19,100,4,3.0,1.0,682.36,8.0,CAD,Revenue,INV-240519-51
52,2024-05-19,200,3,,1.0,-392.93,,CAD,Expense,
53,2025-04-07,110,3,16.0,3.0,7192.43,10.0,USD,Revenue,INV-250407-53
54,2025-04-07,200,3,,3.0,-2016.78,,USD,Expense,
55,2025-03-13,100,5,15.0,2.0,2294.65,25.0,CAD,Revenue,INV-250313-55
56,2025-03-13,200,3,,2.0,-1228.15,,CAD,Expense,
57,2025-12-07,100,6,11.0,1.0,5456.93,23.0,CAD,Revenue,INV-251207-57
58,2025-12-07,200,3,,1.0,-2885.91,,CAD,Expense,
59,2024-04-02,100,6,9.0,4.0,732.13,28.0,EUR,Revenue,INV-240402-59
60,2024-04-02,200,3,,4.0,-224.96,,EUR,Expense,
61,2025-05-25,110,1,4.0,5.0,7986.56,8.0,CAD,Revenue,INV-250525-61
62,2025-05-25,200,3,,5.0,-2274.18,,CAD,Expense,
63,2025-08-02,110,6,15.0,5.0,4404.25,8.0,CAD,Revenue,INV-250802-63
64,2025-08-02,200,3,,5.0,-1244.75,,CAD,Expense,
65,2025-05-11,100,6,1.0,1.0,8082.39,38.0,CAD,Revenue,INV-250511-65
66,2025-05-11,200,3,,1.0,-3238.03,,CAD,Expense,
67,2025-12-24,100,2,18.0,4.0,481.76,9.0,CAD,Revenue,INV-251224-67
68,2025-12-24,200,3,,4.0,-137.85,,CAD,Expense,
69,2025-11-07,110,6,11.0,5.0,22250.66,30.0,USD,Revenue,INV-251107-69
70,2025-11-07,200,3,,5.0,-7572.32,,USD,Expense,
71,2024-02-26,110,2,8.0,5.0,10177.0,20.0,USD,Revenue,INV-240226-71
72,2024-02-26,200,3,,5.0,-3108.4,,USD,Expense,
73,2025-12-17,110,6,3.0,5.0,12825.85,13.0,USD,Revenue,INV-251217-73
74,2025-12-17,200,3,,5.0,-4035.78,,USD,Expense,
75,2023-05-23,110,2,5.0,5.0,9750.01,11.0,CAD,Revenue,INV-230523-75
76,2023-05-23,200,3,,5.0,-2980.05,,CAD,Expense,
77,2024-02-28,100,6,14.0,4.0,1883.38,38.0,CAD,Revenue,INV-240228-77
78,2024-02-28,200,3,,4.0,-523.1,,CAD,Expense,
79,2023-02-27,100,3,7.0,1.0,3211.56,16.0,CAD,Revenue,INV-230227-79
80,2023-02-27,200,3,,1.0,-1572.88,,CAD,Expense,
81,2025-07-08,100,1,13.0,4.0,74.4,2.0,CAD,Revenue,INV-250708-81
82,2025-07-08,200,3,,4.0,-24.78,,CAD,Expense,
83,2024-03-21,110,3,11.0,3.0,15404.74,23.0,CAD,Revenue,INV-240321-83
84,2024-03-21,200,3,,3.0,-5303.33,,CAD,Expense,
85,2024-03-21,210,2,,,-1642.72,,CAD,Expense,
86,2023-07-11,100,2,15.0,4.0,991.23,47.0,CAD,Revenue,INV-230711-86
87,2023-07-11,200,3,,4.0,-299.71,,CAD,Expense,
88,2023-04-21,100,6,14.0,2.0,2026.76,14.0,CAD,Revenue,INV-230421-88
89,2023-04-21,200,3,,2.0,-966.61,,CAD,Expense,
90,2025-10-12,110,3,16.0,5.0,17348.77,47.0,USD,Revenue,INV-251012-90
91,2025-10-12,200,3,,5.0,-5292.53,,USD,Expense,
92,2024-03-07,100,5,18.0,2.0,358.0,3.0,USD,Revenue,INV-240307-92
93,2024-03-07,200,3,,2.0,-211.8,,USD,Expense,
94,2024-08-05,100,6,4.0,1.0,2203.48,18.0,CAD,Revenue,INV-240805-94
95,2024-08-05,200,3,,1.0,-1278.72,,CAD,Expense,
96,2024-01-11,100,3,19.0,1.0,3543.99,42.0,CAD,Revenue,INV-240111-96
97,2024-01-11,200,3,,1.0,-1905.28,,CAD,Expense,
98,2025-04-20,110,3,6.0,5.0,24721.65,21.0,CAD,Revenue,INV-250420-98
99,2025-04-20,200,3,,5.0,-6752.66,,CAD,Expense,
100,2025-04-23,110,6,19.0,5.0,5364.04,12.0,CAD,Revenue,INV-250423-100
101,2025-04-23,200,3,,5.0,-1511.35,,CAD,Expense,
102,2024-06-03,110,5,11.0,3.0,15699.35,29.0,USD,Revenue,INV-240603-102
103,2024-06-03,200,3,,3.0,-4566.09,,USD,Expense,
104,2025-08-22,110,4,12.0,5.0,4820.78,5.0,CAD,Revenue,INV-250822-104
105,2025-08-22,200,3,,5.0,-1528.8,,CAD,Expense,
106,2024-08-11,110,1,6.0,3.0,6606.19,21.0,CAD,Revenue,INV-240811-106
107,2024-08-11,200,3,,3.0,-1678.06,,CAD,Expense,
108,2025-09-18,100,6,17.0,4.0,1465.38,38.0,CAD,Revenue,INV-250918-108
109,2025-09-18,200,3,,4.0,-504.54,,CAD,Expense,
110,2025-10-12,110,4,3.0,3.0,1586.66,2.0,CAD,Revenue,INV-251012-110
111,2025-10-12,200,3,,3.0,-443.62,,CAD,Expense,
112,2024-06-10,100,1,3.0,2.0,4816.14,20.0,USD,Revenue,INV-240610-112
113,2024-06-10,200,3,,2.0,-2188.41,,USD,Expense,
114,2024-10-22,100,3,8.0,4.0,1473.35,43.0,CAD,Revenue,INV-241022-114
115,2024-10-22,200,3,,4.0,-405.83,,CAD,Expense,
116,2024-10-22,210,2,,,-2931.35,,CAD,Expense,
117,2025-07-24,100,3,15.0,2.0,654.36,3.0,USD,Revenue,INV-250724-117
118,2025-07-24,200,3,,2.0,-314.45,,USD,Expense,
119,2023-01-08,100,5,2.0,2.0,2910.16,22.0,CAD,Revenue,INV-230108-119
120,2023-01-08,200,3,,2.0,-1299.41,,CAD,Expense,
121,2025-05-07,100,4,14.0,4.0,2229.82,40.0,USD,Revenue,INV-250507-121
122,2025-05-07,200,3,,4.0,-574.1,,USD,Expense,
123,2024-10-13,100,2,12.0,2.0,3992.77,29.0,USD,Revenue,INV-241013-123
124,2024-10-13,200,3,,2.0,-2122.64,,USD,Expense,
125,2024-12-20,100,2,12.0,2.0,1185.06,7.0,CAD,Revenue,INV-241220-125
126,2024-12-20,200,3,,2.0,-544.5,,CAD,Expense,
127,2025-07-18,110,2,5.0,5.0,12652.73,29.0,CAD,Revenue,INV-250718-127
128,2025-07-18,200,3,,5.0,-3916.88,,CAD,Expense,
129,2025-07-18,210,2,,,-4728.06,,CAD,Expense,
130,2025-11-28,110,5,3.0,5.0,40905.67,37.0,CAD,Revenue,INV-251128-130
131,2025-11-28,200,3,,5.0,-13441.3,,CAD,Expense,
132,2025-06-23,100,3,8.0,2.0,2425.26,11.0,CAD,Revenue,INV-250623-132
133,2025-06-23,200,3,,2.0,-1358.04,,CAD,Expense,
134,2024-01-18,110,5,4.0,5.0,1446.19,3.0,CAD,Revenue,INV-240118-134
135,2024-01-18,200,3,,5.0,-368.95,,CAD,Expense,
136,2024-08-11,100,1,18.0,1.0,136.17,1.0,CAD,Revenue,INV-240811-136
137,2024-08-11,200,3,,1.0,-66.76,,CAD,Expense,
138,2025-07-25,100,6,7.0,2.0,11646.84,48.0,EUR,Revenue,INV-250725-138
139,2025-07-25,200,3,,2.0,-5393.33,,EUR,Expense,
140,2023-05-28,100,3,6.0,1.0,2436.54,22.0,USD,Revenue,INV-230528-140
141,2023-05-28,200,3,,1.0,-1330.77,,USD,Expense,
142,2024-11-29,110,5,1.0,5.0,10237.16,21.0,CAD,Revenue,INV-241129-142
143,2024-11-29,200,3,,5.0,-3244.38,,CAD,Expense,
144,2025-07-07,100,1,16.0,4.0,978.16,26.0,USD,Revenue,INV-250707-144
145,2025-07-07,200,3,,4.0,-275.58,,USD,Expense,
146,2023-01-28,110,1,10.0,3.0,26566.01,24.0,CAD,Revenue,INV-230128-146
147,2023-01-28,200,3,,3.0,-6701.45,,CAD,Expense,
148,2024-05-05,110,6,14.0,3.0,45636.69,48.0,CAD,Revenue,INV-240505-148
149,2024-05-05,200,3,,3.0,-14671.74,,CAD,Expense,
150,2024-08-22,100,2,6.0,2.0,997.93,4.0,USD,Revenue,INV-240822-150
151,2024-08-22,200,3,,2.0,-574.76,,USD,Expense,
152,2024-08-22,210,2,,,-1539.86,,USD,Expense,
153,2024-06-04,100,2,11.0,2.0,6125.03,31.0,USD,Revenue,INV-240604-153
154,2024-06-04,200,3,,2.0,-2610.14,,USD,Expense,
155,2025-11-02,100,6,2.0,4.0,1957.71,38.0,CAD,Revenue,INV-251102-155
156,2025-11-02,200,3,,4.0,-666.26,,CAD,Expense,
157,2024-08-17,110,6,16.0,5.0,913.88,3.0,CAD,Revenue,INV-240817-157
158,2024-08-17,200,3,,5.0,-236.17,,CAD,Expense,
159,2025-04-06,110,4,11.0,5.0,9596.87,11.0,CAD,Revenue,INV-250406-159
160,2025-04-06,200,3,,5.0,-2953.75,,CAD,Expense,
161,2023-07-28,110,3,17.0,5.0,33324.07,36.0,CAD,Revenue,INV-230728-161
162,2023-07-28,200,3,,5.0,-11208.5,,CAD,Expense,
163,2023-12-18,100,3,10.0,1.0,2664.16,17.0,CAD,Revenue,INV-231218-163
164,2023-12-18,200,3,,1.0,-1315.02,,CAD,Expense,
165,2025-11-11,100,5,18.0,4.0,210.76,5.0,CAD,Revenue,INV-251111-165
166,2025-11-11,200,3,,4.0,-63.5,,CAD,Expense,
167,2024-11-04,100,2,6.0,1.0,5319.98,42.0,CAD,Revenue,INV-241104-167
168,2024-11-04,200,3,,1.0,-2609.13,,CAD,Expense,
169,2023-06-20,100,2,16.0,4.0,693.74,21.0,CAD,Revenue,INV-230620-169
170,2023-06-20,200,3,,4.0,-239.62,,CAD,Expense,
171,2024-06-15,110,6,8.0,5.0,15412.47,17.0,CAD,Revenue,INV-240615-171
172,2024-06-15,200,3,,5.0,-5264.6,,CAD,Expense,
173,2024-07-22,100,1,12.0,1.0,797.07,7.0,USD,Revenue,INV-240722-173
174,2024-07-22,200,3,,1.0,-378.94,,USD,Expense,
175,2024-08-12,100,2,7.0,1.0,3631.76,15.0,CAD,Revenue,INV-240812-175
176,2024-08-12,200,3,,1.0,-1582.79,,CAD,Expense,
177,2023-07-04,110,3,11.0,3.0,904.27,1.0,CAD,Revenue,INV-230704-177
178,2023-07-04,200,3,,3.0,-282.06,,CAD,Expense,
179,2024-10-31,110,1,5.0,5.0,18000.56,22.0,CAD,Revenue,INV-241031-179
180,2024-10-31,200,3,,5.0,-5805.7,,CAD,Expense,
181,2023-02-10,100,2,13.0,1.0,2250.29,24.0,USD,Revenue,INV-230210-181
182,2023-02-10,200,3,,1.0,-1035.79,,USD,Expense,
183,2023-03-14,100,5,10.0,4.0,1666.07,33.0,CAD,Revenue,INV-230314-183
184,2023-03-14,200,3,,4.0,-551.77,,CAD,Expense,
185,2025-12-08,100,6,10.0,4.0,547.94,26.0,CAD,Revenue,INV-251208-185
186,2025-12-08,200,3,,4.0,-157.83,,CAD,Expense,
187,2023-03-09,100,5,9.0,1.0,8333.39,48.0,CAD,Revenue,INV-230309-187
188,2023-03-09,200,3,,1.0,-4333.78,,CAD,Expense,
189,2023-03-19,110,3,10.0,5.0,6734.25,15.0,CAD,Revenue,INV-230319-189
190,2023-03-19,200,3,,5.0,-2044.08,,CAD,Expense,
191,2023-04-03,110,3,4.0,3.0,840.52,1.0,CAD,Revenue,INV-230403-191
192,2023-04-03,200,3,,3.0,-242.05,,CAD,Expense,
193,2025-04-29,100,4,7.0,1.0,3399.99,36.0,CAD,Revenue,INV-250429-193
194,2025-04-29,200,3,,1.0,-1657.64,,CAD,Expense,
195,2023-08-24,100,6,5.0,1.0,6325.59,39.0,CAD,Revenue,INV-230824-195
196,2023-08-24,200,3,,1.0,-2664.54,,CAD,Expense,
197,2023-10-10,110,2,15.0,3.0,10511.64,18.0,CAD,Revenue,INV-231010-197
198,2023-10-10,200,3,,3.0,-3013.47,,CAD,Expense,
199,2023-10-10,210,2,,,-3949.68,,CAD,Expense,
200,2023-05-19,100,1,17.0,1.0,8820.56,48.0,CAD,Revenue,INV-230519-200
201,2023-05-19,200,3,,1.0,-4133.8,,CAD,Expense,
202,2025-06-09,100,5,17.0,1.0,2022.7,10.0,CAD,Revenue,INV-250609-202
203,2025-06-09,200,3,,1.0,-1150.9,,CAD,Expense,
204,2025-11-29,100,5,17.0,2.0,2209.87,16.0,CAD,Revenue,INV-251129-204
205,2025-11-29,200,3,,2.0,-1241.32,,CAD,Expense,
206,2023-10-27,110,2,14.0,3.0,36357.38,42.0,CAD,Revenue,INV-231027-206
207,2023-10-27,200,3,,3.0,-11370.65,,CAD,Expense,
208,2023-11-03,110,5,17.0,5.0,31087.98,35.0,CAD,Revenue,INV-231103-208
209,2023-11-03,200,3,,5.0,-9615.69,,CAD,Expense,
210,2024-03-04,100,6,4.0,1.0,1615.5,9.0,CAD,Revenue,INV-240304-210
211,2024-03-04,200,3,,1.0,-688.55,,CAD,Expense,
212,2025-07-15,100,5,20.0,4.0,816.48,31.0,CAD,Revenue,INV-250715-212
213,2025-07-15,200,3,,4.0,-209.2,,CAD,Expense,
214,2024-06-11,100,2,8.0,2.0,1576.44,10.0,CAD,Revenue,INV-240611-214
215,2024-06-11,200,3,,2.0,-772.53,,CAD,Expense,
216,2024-11-21,110,6,18.0,3.0,34452.55,29.0,CAD,Revenue,INV-241121-216
217,2024-11-21,200,3,,3.0,-10369.03,,CAD,Expense,
218,2025-12-30,100,3,4.0,4.0,1469.62,45.0,USD,Revenue,INV-251230-218
219,2025-12-30,200,3,,4.0,-380.19,,USD,Expense,
220,2024-01-08,100,1,8.0,2.0,4350.3,40.0,USD,Revenue,INV-240108-220
221,2024-01-08,200,3,,2.0,-2173.7,,USD,Expense,
222,2023-07-15,110,3,6.0,5.0,10038.89,20.0,CAD,Revenue,INV-230715-222
223,2023-07-15,200,3,,5.0,-2771.59,,CAD,Expense,
224,2023-07-15,210,2,,,-3417.34,,CAD,Expense,
225,2025-06-10,100,3,11.0,1.0,836.86,5.0,EUR,Revenue,INV-250610-225
226,2025-06-10,200,3,,1.0,-388.8,,EUR,Expense,
227,2023-07-13,110,2,14.0,5.0,22767.41,44.0,CAD,Revenue,INV-230713-227
228,2023-07-13,200,3,,5.0,-7321.96,,CAD,Expense,
229,2024-05-17,100,5,4.0,1.0,862.24,7.0,CAD,Revenue,INV-240517-229
230,2024-05-17,200,3,,1.0,-468.26,,CAD,Expense,
231,2023-11-21,110,3,10.0,5.0,12773.34,36.0,CAD,Revenue,INV-231121-231
232,2023-11-21,200,3,,5.0,-3205.89,,CAD,Expense,
233,2025-03-30,100,2,17.0,1.0,6132.23,40.0,CAD,Revenue,INV-250330-233
234,2025-03-30,200,3,,1.0,-2772.64,,CAD,Expense,
235,2025-04-18,100,1,16.0,1.0,1201.77,6.0,CAD,Revenue,INV-250418-235
236,2025-04-18,200,3,,1.0,-674.91,,CAD,Expense,
237,2024-01-04,100,1,10.0,2.0,3980.03,38.0,CAD,Revenue,INV-240104-237
238,2024-01-04,200,3,,2.0,-1963.95,,CAD,Expense,
239,2023-06-30,100,4,4.0,2.0,6908.21,29.0,CAD,Revenue,INV-230630-239
240,2023-06-30,200,3,,2.0,-3765.43,,CAD,Expense,
241,2025-01-04,110,5,13.0,5.0,3586.3,5.0,CAD,Revenue,INV-250104-241
242,2025-01-04,200,3,,5.0,-1236.15,,CAD,Expense,
243,2024-11-06,100,4,2.0,4.0,300.02,13.0,USD,Revenue,INV-241106-243
244,2024-11-06,200,3,,4.0,-95.13,,USD,Expense,
245,2023-12-24,100,1,3.0,2.0,2709.21,16.0,USD,Revenue,INV-231224-245
246,2023-12-24,200,3,,2.0,-1624.62,,USD,Expense,
247,2024-05-25,110,3,14.0,5.0,6089.71,10.0,EUR,Revenue,INV-240525-247
248,2024-05-25,200,3,,5.0,-1889.18,,EUR,Expense,
249,2024-07-18,100,3,17.0,1.0,3879.63,44.0,CAD,Revenue,INV-240718-249
250,2024-07-18,200,3,,1.0,-2266.59,,CAD,Expense,
251,2023-01-16,100,2,12.0,4.0,214.39,7.0,CAD,Revenue,INV-230116-251
252,2023-01-16,200,3,,4.0,-72.8,,CAD,Expense,
253,2025-10-22,110,3,11.0,5.0,16656.06,37.0,USD,Revenue,INV-251022-253
254,2025-10-22,200,3,,5.0,-5532.26,,USD,Expense,
1,2025-07-02,110,1,13.0,5.0,26029.94,37.0,USD,Revenue,INV-250702-1
2,2025-07-02,200,3,,5.0,-7074.28,,USD,Expense,
3,2025-07-02,210,2,,,-3080.44,,USD,Expense,
4,2024-05-20,110,2,7.0,3.0,20647.11,29.0,CAD,Revenue,INV-240520-4
5,2024-05-20,200,3,,3.0,-7016.19,,CAD,Expense,
6,2024-09-17,110,5,17.0,3.0,24625.92,32.0,EUR,Revenue,INV-240917-6
7,2024-09-17,200,3,,3.0,-8081.56,,EUR,Expense,
8,2023-09-10,110,6,19.0,5.0,40264.79,42.0,CAD,Revenue,INV-230910-8
9,2023-09-10,200,3,,5.0,-11520.63,,CAD,Expense,
10,2025-12-30,100,6,8.0,4.0,1751.69,30.0,CAD,Revenue,INV-251230-10
11,2025-12-30,200,3,,4.0,-587.09,,CAD,Expense,
12,2025-02-11,100,4,16.0,2.0,7382.18,49.0,CAD,Revenue,INV-250211-12
13,2025-02-11,200,3,,2.0,-3941.0,,CAD,Expense,
14,2023-01-18,100,6,5.0,4.0,236.84,6.0,CAD,Revenue,INV-230118-14
15,2023-01-18,200,3,,4.0,-81.35,,CAD,Expense,
16,2025-08-01,110,1,1.0,5.0,8231.52,18.0,USD,Revenue,INV-250801-16
17,2025-08-01,200,3,,5.0,-2259.93,,USD,Expense,
18,2025-08-22,100,4,17.0,2.0,3416.97,41.0,CAD,Revenue,INV-250822-18
19,2025-08-22,200,3,,2.0,-1600.22,,CAD,Expense,
20,2025-04-13,110,6,4.0,5.0,48742.28,44.0,CAD,Revenue,INV-250413-20
21,2025-04-13,200,3,,5.0,-12611.66,,CAD,Expense,
22,2023-03-17,100,1,6.0,1.0,386.42,2.0,CAD,Revenue,INV-230317-22
23,2023-03-17,200,3,,1.0,-196.46,,CAD,Expense,
24,2023-02-07,110,5,8.0,3.0,3422.93,3.0,CAD,Revenue,INV-230207-24
25,2023-02-07,200,3,,3.0,-1107.33,,CAD,Expense,
26,2023-08-04,100,4,6.0,1.0,600.33,5.0,CAD,Revenue,INV-230804-26
27,2023-08-04,200,3,,1.0,-255.36,,CAD,Expense,
28,2024-03-28,100,6,10.0,1.0,5943.94,40.0,CAD,Revenue,INV-240328-28
29,2024-03-28,200,3,,1.0,-3058.48,,CAD,Expense,
30,2025-09-21,110,4,9.0,3.0,22783.62,32.0,CAD,Revenue,INV-250921-30
31,2025-09-21,200,3,,3.0,-6165.22,,CAD,Expense,
32,2025-04-08,110,1,4.0,5.0,17149.76,36.0,CAD,Revenue,INV-250408-32
33,2025-04-08,200,3,,5.0,-5962.1,,CAD,Expense,
34,2023-10-15,100,3,2.0,1.0,3444.39,15.0,CAD,Revenue,INV-231015-34
35,2023-10-15,200,3,,1.0,-1805.25,,CAD,Expense,
36,2023-08-02,100,6,15.0,4.0,538.27,11.0,CAD,Revenue,INV-230802-36
37,2023-08-02,200,3,,4.0,-141.89,,CAD,Expense,
38,2024-01-07,110,6,10.0,3.0,2443.53,3.0,CAD,Revenue,INV-240107-38
39,2024-01-07,200,3,,3.0,-787.56,,CAD,Expense,
40,2024-10-08,110,4,9.0,3.0,7896.25,7.0,CAD,Revenue,INV-241008-40
41,2024-10-08,200,3,,3.0,-2045.46,,CAD,Expense,
42,2024-01-14,100,4,3.0,1.0,3821.49,39.0,USD,Revenue,INV-240114-42
43,2024-01-14,200,3,,1.0,-2282.14,,USD,Expense,
44,2024-02-13,110,1,6.0,5.0,48518.18,44.0,USD,Revenue,INV-240213-44
45,2024-02-13,200,3,,5.0,-13719.71,,USD,Expense,
46,2023-11-20,100,6,7.0,1.0,4284.35,47.0,CAD,Revenue,INV-231120-46
47,2023-11-20,200,3,,1.0,-2273.04,,CAD,Expense,
48,2024-03-19,110,5,16.0,5.0,22621.18,25.0,EUR,Revenue,INV-240319-48
49,2024-03-19,200,3,,5.0,-6496.19,,EUR,Expense,
50,2024-03-19,210,2,,,-3664.4,,EUR,Expense,
51,2025-03-17,100,5,3.0,4.0,250.98,6.0,CAD,Revenue,INV-250317-51
52,2025-03-17,200,3,,4.0,-71.77,,CAD,Expense,
53,2025-03-17,210,2,,,-1370.03,,CAD,Expense,
54,2024-01-04,110,3,12.0,5.0,31780.81,31.0,CAD,Revenue,INV-240104-54
55,2024-01-04,200,3,,5.0,-10704.42,,CAD,Expense,
56,2023-07-11,100,2,5.0,1.0,5061.44,27.0,CAD,Revenue,INV-230711-56
57,2023-07-11,200,3,,1.0,-2951.77,,CAD,Expense,
58,2025-11-12,100,5,4.0,2.0,2089.65,22.0,USD,Revenue,INV-251112-58
59,2025-11-12,200,3,,2.0,-1125.65,,USD,Expense,
60,2025-01-21,110,1,7.0,5.0,53945.98,48.0,CAD,Revenue,INV-250121-60
61,2025-01-21,200,3,,5.0,-16211.39,,CAD,Expense,
62,2023-04-26,100,5,19.0,1.0,4930.6,29.0,CAD,Revenue,INV-230426-62
63,2023-04-26,200,3,,1.0,-2685.05,,CAD,Expense,
64,2023-04-26,210,2,,,-3178.75,,CAD,Expense,
65,2024-11-20,100,4,16.0,1.0,1627.48,10.0,USD,Revenue,INV-241120-65
66,2024-11-20,200,3,,1.0,-767.07,,USD,Expense,
67,2023-06-26,100,2,13.0,1.0,4654.52,19.0,CAD,Revenue,INV-230626-67
68,2023-06-26,200,3,,1.0,-2320.19,,CAD,Expense,
69,2024-11-19,110,2,13.0,3.0,9241.77,9.0,USD,Revenue,INV-241119-69
70,2024-11-19,200,3,,3.0,-3156.19,,USD,Expense,
71,2023-08-17,110,6,10.0,3.0,41124.32,37.0,CAD,Revenue,INV-230817-71
72,2023-08-17,200,3,,3.0,-10318.5,,CAD,Expense,
73,2023-08-17,210,2,,,-1626.61,,CAD,Expense,
74,2023-11-22,100,4,17.0,2.0,168.71,1.0,USD,Revenue,INV-231122-74
75,2023-11-22,200,3,,2.0,-93.16,,USD,Expense,
76,2024-04-19,100,4,10.0,4.0,1908.87,36.0,CAD,Revenue,INV-240419-76
77,2024-04-19,200,3,,4.0,-488.67,,CAD,Expense,
78,2024-06-03,100,6,12.0,2.0,10407.26,44.0,CAD,Revenue,INV-240603-78
79,2024-06-03,200,3,,2.0,-5404.27,,CAD,Expense,
80,2023-07-22,100,1,15.0,4.0,367.94,15.0,CAD,Revenue,INV-230722-80
81,2023-07-22,200,3,,4.0,-106.94,,CAD,Expense,
82,2023-10-29,110,3,6.0,3.0,3245.41,6.0,CAD,Revenue,INV-231029-82
83,2023-10-29,200,3,,3.0,-1102.98,,CAD,Expense,
84,2025-12-16,100,4,15.0,4.0,1045.33,21.0,USD,Revenue,INV-251216-84
85,2025-12-16,200,3,,4.0,-277.22,,USD,Expense,
86,2025-05-14,110,2,8.0,5.0,43819.31,43.0,CAD,Revenue,INV-250514-86
87,2025-05-14,200,3,,5.0,-12774.47,,CAD,Expense,
88,2025-03-10,110,4,15.0,3.0,22899.18,45.0,CAD,Revenue,INV-250310-88
89,2025-03-10,200,3,,3.0,-7611.1,,CAD,Expense,
90,2024-10-07,110,6,12.0,5.0,12149.5,18.0,CAD,Revenue,INV-241007-90
91,2024-10-07,200,3,,5.0,-3844.65,,CAD,Expense,
92,2025-02-03,100,6,6.0,1.0,2178.05,23.0,CAD,Revenue,INV-250203-92
93,2025-02-03,200,3,,1.0,-1235.77,,CAD,Expense,
94,2025-10-29,100,6,1.0,2.0,4267.04,40.0,CAD,Revenue,INV-251029-94
95,2025-10-29,200,3,,2.0,-2208.74,,CAD,Expense,
96,2025-02-07,100,4,13.0,4.0,1149.48,48.0,EUR,Revenue,INV-250207-96
